zip_code,beds,baths,sqft,date,zip_median_price,sale_price
75002,3.0,3.0,2371.0,2020-08-31,312230.91391470266,400000.0
75002,3.0,3.0,2433.0,2025-06-30,469342.9995208199,820000.0
75002,3.0,3.0,2453.0,2020-12-31,326285.82287165464,600000.0
75002,3.0,3.0,2594.0,2017-01-31,282207.18391871447,439900.0
75002,3.0,3.0,3001.0,2017-04-30,287835.29456428805,999992.0
75002,3.0,4.0,2509.0,2022-07-31,490981.1226589316,550990.0
75002,4.0,2.0,1614.0,2023-11-30,482673.40747503727,275000.0
75002,4.0,2.0,1729.0,2015-04-30,240003.31795911907,355000.0
75002,4.0,2.0,1857.0,2021-12-31,408511.82761075994,335000.0
75002,4.0,2.0,1927.0,2021-06-30,367415.0896024727,420000.0
75002,4.0,2.0,1951.0,2020-10-31,318201.85999520007,440000.0
75002,4.0,2.0,1968.0,2024-01-31,481132.82119687187,425000.0
75002,4.0,2.0,1980.0,2025-04-30,475428.6342662429,395000.0
75002,4.0,2.0,1990.0,2018-01-31,299231.61830466305,395000.0
75002,4.0,2.0,2007.0,2017-10-31,295713.4626969081,410000.0
75002,4.0,2.0,2035.0,2016-11-30,278544.3042860265,399900.0
75002,4.0,2.0,2042.0,2022-02-28,431675.8628656997,399000.0
75002,4.0,2.0,2042.0,2025-06-30,469342.9995208199,430000.0
75002,4.0,2.0,2069.0,2025-10-31,460245.82782669505,469900.0
75002,4.0,2.0,2088.0,2016-04-30,265994.83169045165,415000.0
75002,4.0,2.0,2089.0,2017-02-28,283950.7343807391,452200.0
75002,4.0,2.0,2092.0,2025-05-31,472767.0556787857,349900.0
75002,4.0,2.0,2106.0,2024-01-31,481132.82119687187,399999.0
75002,4.0,2.0,2110.0,2020-09-30,314750.77256218443,454900.0
75002,4.0,2.0,2118.0,2018-08-31,305056.0249736581,419900.0
75002,4.0,2.0,2151.0,2023-09-30,482625.1345323315,425000.0
75002,4.0,2.0,2219.0,2025-04-30,475428.6342662429,479900.0
75002,4.0,2.0,2274.0,2018-07-31,304361.5954613364,425000.0
75002,4.0,2.0,2277.0,2024-12-31,480400.04665957246,342900.0
75002,4.0,2.0,2313.0,2015-09-30,251791.13339066392,415000.0
75002,4.0,2.0,2335.0,2018-06-30,303599.47514981247,665000.0
75002,4.0,2.0,2397.0,2023-03-31,470456.0526439177,482000.0
75002,4.0,2.0,2412.0,2015-03-31,237146.92321396855,419000.0
75002,4.0,2.0,2508.0,2016-05-31,268245.2249790534,395000.0
